title,price,location,rooms,size
Apartment,225000,"The Wave (Almouj), Muscat",2.0,157
Villa,37000,"Barka, Al Batinah",4.0,180
Apartment,172082,"Qurum, Muscat",1.0,73
Apartment,140000,"The Wave (Almouj), Muscat",1.0,114
Apartment,85000,"Salalah, Dhofar",2.0,120
Apartment,130000,"Al Mawaleh, Muscat",3.0,566
Apartment,95000,"Salalah, Dhofar",1.0,76
Apartment,110000,"The Wave (Almouj), Muscat",1.0,107
Chalet,51000,"Barka, Al Batinah",2.0,600
Apartment,35000,"Salalah, Dhofar",3.0,150
Villa,76000,"Al Maabilah, Muscat",4.0,345
Apartment,70850,"Al Maabilah, Muscat",2.0,109
Villa,980000,"Al Sifah, Muscat",5.0,2
Apartment,60000,"Al Sifah, Muscat",1.0,59
Villa,413968,"Qantab, Muscat",4.0,422
Apartment,140000,"The Wave (Almouj), Muscat",2.0,140
Villa,185000,"The Wave (Almouj), Muscat",2.0,128
Apartment,70850,"Sultan Haitham City, Muscat",2.0,109
Apartment,163050,"Sultan Haitham City, Muscat",3.0,217
Apartment,53300,"Sultan Haitham City, Muscat",1.0,82
Residential Land,100000,"Al Amarat, Muscat",,400
Residential Land,140000,"Ansab, Muscat",,734
Residential Land,100000,"Bosher, Muscat",,500
Apartment,58500,"Sultan Haitham City, Muscat",1.0,70
Villa,250000,"Al Sifah, Muscat",3.0,153
Apartment,255000,"The Wave (Almouj), Muscat",2.0,157
Villa,225000,"The Wave (Almouj), Muscat",4.0,176
Apartment,85000,"Muscat Hills, Muscat",2.0,120
Residential Land,12200,"Barka, Al Batinah",,810
Villa,95000,"Misfah, Muscat",4.0,215
Apartment,46150,"Al Maabilah, Muscat",1.0,71
Apartment,923409,"Muscat - Other, Muscat",4.0,424
Apartment,288115,"Qantab, Muscat",3.0,361
Villa,1100000,"Suwaiq, Al Batinah",6.0,15
Villa,79000,"Salalah, Dhofar",1.0,69
Villa,140000,"Salalah, Dhofar",2.0,110
Villa,98000,"Al Seeb, Muscat",7.0,425
Villa,140000,"Al Hail, Muscat",5.0,320
Residential Land,16000,"Barka, Al Batinah",,630
Apartment,125000,"The Wave (Almouj), Muscat",1.0,110
Apartment,29000,"Darsait, Muscat",2.0,90
Apartment,61000,"Al Sifah, Muscat",1.0,64
Apartment,50000,"Salalah, Dhofar",1.0,55
Residential Land,27000,"Al Amarat, Muscat",,333
Apartment,100000,"The Wave (Almouj), Muscat",1.0,107
Villa,2800000,"The Wave (Almouj), Muscat",6.0,1
Apartment,88000,"Ghala, Muscat",2.0,139
Residential Land,6700,"Saham, Al Batinah",,1
Residential Land,20500,"Sohar, Al Batinah",,600
Villa,149695,"Al Maabilah, Muscat",5.0,249
Apartment,50000,"Salalah, Dhofar",1.0,65
Villa,175000,"Sultan Haitham City, Muscat",3.0,220
Villa,256000,"Muscat Hills, Muscat",5.0,258
Apartment,68000,"Al Sifah, Muscat",1.0,91
Apartment,45000,"Al Sifah, Muscat",,61
Residential Land,135000,"Al Maabilah, Muscat",,400
Villa,66000,"Al Maabilah, Muscat",3.0,223
Residential Land,95000,"Bosher, Muscat",,439
Villa,25000,"Barka, Al Batinah",3.0,447
Apartment,320000,"Qantab, Muscat",3.0,361
Residential Land,145000,"Bosher, Muscat",,783
Villa,185000,"Al Ghubrah, Muscat",4.0,475
Residential Land,100,"Adam, Al Dakhiliya",,700
Apartment,110000,"Al Sifah, Muscat",2.0,124
Villa,137000,"Al Khoud, Muscat",5.0,420
Apartment,204000,"Sultan Haitham City, Muscat",4.0,272
Residential Land,48000,"Al Khaboura, Al Batinah",,4
Apartment,125000,"The Wave (Almouj), Muscat",1.0,110
Apartment,138000,"Qantab, Muscat",1.0,118
Villa,170650,"Salalah, Dhofar",2.0,133
Apartment,91180,"Qantab, Muscat",1.0,79
Apartment,25000,"Al Amarat, Muscat",2.0,95
Residential Land,18000,"Al Buraimi, Al Buraimi",,1
Residential Land,5000,"Izki, Al Dakhiliya",,600
Apartment,87735,"Al Seeb, Muscat",2.0,134
Apartment,94000,"The Wave (Almouj), Muscat",1.0,90
Villa,80000,"Al Khoud, Muscat",5.0,376
Apartment,98000,"The Wave (Almouj), Muscat",1.0,84
Apartment,80000,"The Wave (Almouj), Muscat",1.0,61
Villa,111700,"Sultan Haitham City, Muscat",3.0,194
Apartment,59500,"Muscat Hills, Muscat",1.0,74
Apartment,58000,"Al Sifah, Muscat",1.0,76
Villa,227700,"Al Maabilah, Muscat",5.0,444
Apartment,90085,"Yiti, Muscat",1.0,66
Villa,146000,"Bosher, Muscat",7.0,240
Villa,100000,"Al Khoud, Muscat",5.0,300
Residential Land,78000,"Nizwa, Al Dakhiliya",,750
Villa,143000,"Al Khoud, Muscat",5.0,378
Residential Land,100000,"Wadi Al Ma'awal, Al Batinah",,600
Apartment,110000,"Sultan Haitham City, Muscat",2.0,147
Apartment,75000,"Bosher, Muscat",2.0,103
Villa,115000,"Ansab, Muscat",5.0,340
Residential Land,9500,"Sumail, Al Dakhiliya",,600
Residential Land,200000,"Al Khoud, Muscat",,500
Apartment,8500,"Al Seeb, Muscat",1.0,44
Villa,75000,"Bosher, Muscat",7.0,332
Villa,55000,"Ibra, Al Sharqiya",11.0,300
Apartment,55000,"Qurum, Muscat",3.0,94
Villa,335850,"Salalah, Dhofar",4.0,243
Residential Land,20500,"Barka, Al Batinah",,589
Residential Land,115000,"Al Mawaleh, Muscat",,600
Residential Land,70000,"Al Amarat, Muscat",,666
Apartment,88500,"Muscat Hills, Muscat",2.0,111
Apartment,58000,"Azaiba, Muscat",2.0,117
Residential Land,1000,"Al Amarat, Muscat",,600
Apartment,20000,"Barka, Al Batinah",3.0,156
Apartment,92000,"Muscat Hills, Muscat",2.0,117
Villa,87000,"Nizwa, Al Dakhiliya",6.0,525
Residential Land,140,"Barka, Al Batinah",,17
Residential Land,7300,"Bahla, Al Dakhiliya",,835
Residential Land,1010,"Al Maabilah, Muscat",,6
Residential Land,13500,"Bahla, Al Dakhiliya",,630
Residential Land,4000,"Al Rustaq, Al Batinah",,500
Apartment,30000,"Bosher, Muscat",1.0,60
Residential Land,4500,"Al Amarat, Muscat",,600
Residential Land,10000,"Barka, Al Batinah",,600
Apartment,58000,"Al Sifah, Muscat",1.0,64
Residential Land,23000,"Barka, Al Batinah",,600
Villa,176000,"Al Maabilah, Muscat",3.0,240
Residential Land,6000,"Al Mudaibi, Al Sharqiya",,600
Residential Land,12500,"Masira, Al Sharqiya",,1
Apartment,39000,"Al Hail, Muscat",1.0,79
Residential Land,12500,"Ibri, Al Dhahirah",,1
Apartment,165000,"The Wave (Almouj), Muscat",1.0,83
Villa,406960,"Qantab, Muscat",3.0,426
Apartment,46150,"Sultan Haitham City, Muscat",1.0,71
Residential Land,55000,"Barka, Al Batinah",,1
Residential Land,65000,"Al Seeb, Muscat",,827
Villa,112000,"Al Khoud, Muscat",6.0,390
Apartment,50000,"Bosher, Muscat",3.0,122
Villa,115000,"Qurum, Muscat",4.0,260
Villa,150000,"Azaiba, Muscat",7.0,460
Apartment,74000,"Salalah, Dhofar",2.0,61
Residential Land,5000,"Al Buraimi, Al Buraimi",,624
Residential Land,63000,"Barka, Al Batinah",,1
