title,price,location,rooms,size
Apartment,112000,"Muscat Hills, Muscat",2.0,138.0
Villa,174650,"Al Maabilah, Muscat",5.0,249.0
Apartment,90675,"Muscat Hills, Muscat",2.0,108.0
Apartment,65000,"Muscat Hills, Muscat",1.0,85.0
Villa,165000,"Ansab, Muscat",7.0,300.0
Apartment,96122,"Yiti, Muscat",1.0,68.0
Apartment,45000,"Ghala, Muscat",2.0,99.0
Apartment,298082,"Qurum, Muscat",2.0,132.0
Villa,190000,"Al Sifah, Muscat",2.0,818.0
Apartment,125000,"Salalah, Dhofar",3.0,111.0
Villa,82000,"Nizwa, Al Dakhiliya",5.0,430.0
Villa,160000,"Salalah, Dhofar",2.0,131.0
Villa,1000000,"Al Buraimi, Al Buraimi",10.0,1.0
Apartment,94000,"The Wave (Almouj), Muscat",1.0,107.0
Villa,88000,"Al Maabilah, Muscat",6.0,781.0
Apartment,63000,"Muscat Hills, Muscat",1.0,76.0
Villa,235000,"Al Khoud, Muscat",4.0,417.0
Apartment,63000,"Muscat Hills, Muscat",1.0,95.0
Villa,178000,"Sultan Haitham City, Muscat",5.0,249.0
Apartment,112000,"Muscat Hills, Muscat",2.0,138.0
Residential Land,6200,"Ibra, Al Sharqiya",,600.0
Apartment,54000,"Bosher, Muscat",3.0,116.0
Villa,90000,"Salalah, Dhofar",2.0,120.0
Apartment,42000,"Al Maabilah, Muscat",,50.0
Residential Land,10500,"Sumail, Al Dakhiliya",,600.0
Apartment,63000,"Muscat Hills, Muscat",1.0,76.0
Apartment,85000,"Muscat Hills, Muscat",1.0,95.0
Villa,27000,"Bosher, Muscat",2.0,75.0
Villa,238891,"Yiti, Muscat",3.0,253.0
Villa,340000,"Sultan Haitham City, Muscat",4.0,388.0
Apartment,160000,"The Wave (Almouj), Muscat",2.0,200.0
Residential Land,9500,"Ibra, Al Sharqiya",,680.0
Apartment,80000,"Muscat Hills, Muscat",2.0,129.0
Villa,310000,"Sultan Haitham City, Muscat",7.0,413.0
Apartment,222240,"Al Seeb, Muscat",4.0,339.0
Villa,75000,"Al Amarat, Muscat",5.0,200.0
Apartment,60684,"Muscat Hills, Muscat",1.0,78.0
Residential Land,16000,"Salalah, Dhofar",,600.0
Apartment,64890,"Muscat Hills, Muscat",1.0,76.0
Apartment,103000,"The Wave (Almouj), Muscat",1.0,91.0
Apartment,51000,"Bosher, Muscat",4.0,114.0
Villa,340000,"Sultan Haitham City, Muscat",4.0,388.0
Villa,59000,"Barka, Al Batinah",4.0,300.0
Villa,349549,"Sultan Haitham City, Muscat",4.0,388.0
Villa,100000,"Barka, Al Batinah",3.0,600.0
Apartment,110000,"The Wave (Almouj), Muscat",1.0,95.0
Chalet,220000,"Barka, Al Batinah",4.0,1.0
Residential Land,23300,"Barka, Al Batinah",,600.0
Villa,65000,"Al Maabilah, Muscat",4.0,600.0
Villa,90000,"Al Maabilah, Muscat",7.0,300.0
Residential Land,120000,"Al Maabilah, Muscat",,400.0
Villa,200000,"Salalah, Dhofar",2.0,141.0
Villa,256540,"Salalah, Dhofar",3.0,181.0
Apartment,47000,"Muscat Hills, Muscat",,49.0
Apartment,82000,"Al Sifah, Muscat",2.0,110.0
Apartment,95000,"Muscat Hills, Muscat",2.0,142.0
Apartment,180000,"The Wave (Almouj), Muscat",2.0,133.0
Villa,104525,"Salalah, Dhofar",1.0,79.0
Villa,65000,"Al Seeb, Muscat",4.0,600.0
Villa,108000,"Al Mawaleh, Muscat",4.0,240.0
Villa,419000,"Madinat As Sultan Qaboos, Muscat",5.0,720.0
Apartment,20900,"Al Maabilah, Muscat",2.0,84.0
Residential Land,7500,"Al Khaboura, Al Batinah",,1.0
Apartment,77000,"The Wave (Almouj), Muscat",1.0,107.0
Apartment,45700,"Ghala, Muscat",1.0,91.0
Villa,1400000,"Al Sifah, Muscat",5.0,2.0
Apartment,57000,"Al Hail, Muscat",2.0,84.0
Residential Land,340000,"Bosher, Muscat",,1.0
Chalet,220000,"Al Sifah, Muscat",3.0,177.0
Apartment,225000,"The Wave (Almouj), Muscat",2.0,157.0
Villa,37000,"Barka, Al Batinah",4.0,180.0
Apartment,172082,"Qurum, Muscat",1.0,73.0
Apartment,140000,"The Wave (Almouj), Muscat",1.0,114.0
