title,price,location,rooms,size
Apartment,"80,000","The Wave (Almouj), Muscat",1,61 Sq. M.
Villa,"111,700","Sultan Haitham City, Muscat",3,194 Sq. M.
Apartment,"59,500","Muscat Hills, Muscat",1,74 Sq. M.
Apartment,"58,000","Al Sifah, Muscat",1,76 Sq. M.
Villa,"227,700","Al Maabilah, Muscat",5,444 Sq. M.
Apartment,"90,085","Yiti, Muscat",1,66 Sq. M.
Villa,"146,000","Bosher, Muscat",7,240 Sq. M.
Villa,"100,000","Al Khoud, Muscat",5,300 Sq. M.
Residential Land,"78,000","Nizwa, Al Dakhiliya",not available,750 Sq. M.
Villa,"143,000","Al Khoud, Muscat",5,378 Sq. M.
Residential Land,"100,000","Wadi Al Ma'awal, Al Batinah",not available,600 Sq. M.
Apartment,"110,000","Sultan Haitham City, Muscat",2,147 Sq. M.
Apartment,"75,000","Bosher, Muscat",2,103 Sq. M.
Villa,"115,000","Ansab, Muscat",5,340 Sq. M.
Residential Land,"9,500","Sumail, Al Dakhiliya",not available,600 Sq. M.
Residential Land,"200,000","Al Khoud, Muscat",not available,500 Sq. M.
Apartment,"8,500","Al Seeb, Muscat",1,44 Sq. M.
Villa,"75,000","Bosher, Muscat",7,332 Sq. M.
Villa,"55,000","Ibra, Al Sharqiya",11,300 Sq. M.
Apartment,"55,000","Qurum, Muscat",3,94 Sq. M.
Villa,"335,850","Salalah, Dhofar",4,243 Sq. M.
Residential Land,"20,500","Barka, Al Batinah",not available,589 Sq. M.
Residential Land,"115,000","Al Mawaleh, Muscat",not available,600 Sq. M.
Residential Land,"70,000","Al Amarat, Muscat",not available,666 Sq. M.
Apartment,"88,500","Muscat Hills, Muscat",2,111 Sq. M.
Apartment,"58,000","Azaiba, Muscat",2,117 Sq. M.
Residential Land,"1,000","Al Amarat, Muscat",not available,600 Sq. M.
Apartment,"20,000","Barka, Al Batinah",3,156 Sq. M.
Apartment,"92,000","Muscat Hills, Muscat",2,117 Sq. M.
Villa,"87,000","Nizwa, Al Dakhiliya",6,525 Sq. M.
Residential Land,140,"Barka, Al Batinah",not available,"17,829 Sq. M."
Residential Land,"7,300","Bahla, Al Dakhiliya",not available,835 Sq. M.
Residential Land,"1,010","Al Maabilah, Muscat",not available,"6,000 Sq. M."
Residential Land,"13,500","Bahla, Al Dakhiliya",not available,630 Sq. M.
Residential Land,"4,000","Al Rustaq, Al Batinah",not available,500 Sq. M.
Apartment,"30,000","Bosher, Muscat",1,60 Sq. M.
Residential Land,"4,500","Al Amarat, Muscat",not available,600 Sq. M.
Residential Land,"10,000","Barka, Al Batinah",not available,600 Sq. M.
Apartment,"58,000","Al Sifah, Muscat",1,64 Sq. M.
Residential Land,"23,000","Barka, Al Batinah",not available,600 Sq. M.
Villa,"176,000","Al Maabilah, Muscat",3,240 Sq. M.
Residential Land,"6,000","Al Mudaibi, Al Sharqiya",not available,600 Sq. M.
Residential Land,"12,500","Masira, Al Sharqiya",not available,"1,278 Sq. M."
Apartment,"39,000","Al Hail, Muscat",1,79 Sq. M.
Residential Land,"12,500","Ibri, Al Dhahirah",not available,"1,218 Sq. M."
Apartment,"165,000","The Wave (Almouj), Muscat",1,83 Sq. M.
Villa,"406,960","Qantab, Muscat",3,426 Sq. M.
Apartment,"46,150","Sultan Haitham City, Muscat",1,71 Sq. M.
Residential Land,"55,000","Barka, Al Batinah",not available,"1,562 Sq. M."
Residential Land,"65,000","Al Seeb, Muscat",not available,827 Sq. M.
Villa,"112,000","Al Khoud, Muscat",6,390 Sq. M.
Apartment,"50,000","Bosher, Muscat",3,122 Sq. M.
Villa,"115,000","Qurum, Muscat",4,260 Sq. M.
Villa,"150,000","Azaiba, Muscat",7,460 Sq. M.
